GeneID	Symbol	LogFoldChange	P-Value
165904	XIRP1	-0,0055	0,88
166012	CHST13	0,023	0,11
166348	KLHDC6	0,0044	0,93
166378	SPATA5	0,0177	0,0061
166379	BBS12	-0,2319	0,00011
166614	DCLK2	0,0275	0,066
166752	FREM3	0,0221	0,56
166785	MMAA	-0,0717	0,00059
166793	ZNF509	-0,0551	0,064
166815	TIGD2	-0,0071	0,88
166824	RASSF6	-0,0475	0,13
166863	RBM46	-0,032	0,066
166929	SGMS2	0,1325	0,05
166968	MIER3	0,2007	0,000096
166979	CDC20B	-0,0734	0,015
167153	PAPD4	0,0843	0,11
167227	DCP2	-0,011	0,75
167359	MGC42105	-0,0141	0,74
167410	LIX1	0,6832	0,0000000087
167465	ZNF366	0,0396	0,25
167681	PRSS35	-0,0697	0,45
167691	LCA5	0,222	0,00032
167838	TXLNB	-0,0084	0,7
168090	C6orf118	0,161	0,0039
168374	ZNF92	0,0813	0,067
168391	GALNTL5	-0,2096	0,0000064
168433	RNF133	-0,0705	0,03
168451	THAP5	0,062	0,04
168455	FLJ36031	0,0356	0,26
168474	LOC168474	-0,0527	0,25
168537	GIMAP7	0,162	0,033
168544	ZNF467	-0,1017	0,00000071
168667	BMPER	-0,1081	0,00054
168850	ZNF800	0,0013	0,36
169026	SLC30A8	0,0116	0,74
169044	COL22A1	-0,026	0,011
169200	TMEM64	0,1539	0,1
169270	ZNF596	-0,0177	0,16
169436	C9orf96	-0,0691	0,043
169522	KCNV2	-0,0577	0,096
169611	OLFML2A	0,1051	0,046
169714	QSOX2	-0,0116	0,53
169792	GLIS3	0,7477	0,000000037
170062	FAM47B	0,0086	0,76
170261	ZCCHC12	-0,5275	0,0000055
170302	ARX	0,0015	0,15
170371	C10orf128	0,198	0,0027
170392	OIT3	-0,0868	0,027
170394	PWWP2B	-0,1482	0,0000000014
170463	SSBP4	-0,1482	0,000000012
170487	C20orf134	0,118	0,00057
170504	COX6CP2	-0,0393	0,24
170506	DHX36	-0,1761	0,00009
170510	EIF4EBP2P	0,2497	0,00017
170517	GCNT1P	-0,0645	0,18
170533	PA2G4P2	0,0413	0,2
170536	PPIAL	-0,0412	0,14
170543	RNF11B	-0,0167	0,52
170549	SNAP23P	-0,1184	0,053
170552	SRMP1	-0,0708	0,11
170554	TCTE1P	-0,9896	0,0000000000045
170589	GPHA2	0,0305	0,34
170598	RAD21L1	-0,1442	0,000012
170622	COMMD6	0,0191	0,072
170626	XAGE3	0,0453	0,26
170679	PSORS1C1	-0,0028	0,93
170680	PSORS1C2	-0,1028	0,067
170685	NUDT10	-0,0994	0,00021
170688	NUDT4P2	0,0466	0,013
170690	ADAMTS16	0,0348	0,41
170692	ADAMTS18	0,092	0,086
170712	COX7B2	-0,0724	0,048
170825	GSX2	-0,0693	0,03
170954	KIAA1949	0,1846	0,0072
170960	ZNF721	0,0397	0,36
170961	ANKRD24	-0,0322	0,25
171017	ZNF384	0,0478	0,15
171023	ASXL1	0,1586	0,0000000000095
171024	SYNPO2	0,3794	0,00000000074
171169	SPACA4	-0,0094	0,75
171177	RHOV	0,0511	0,25
171220	LOC171220	-0,0441	0,33
171392	ZNF675	-0,037	0,048
171425	CLYBL	-0,0349	0,36
171484	FAM9C	-0,0302	0,12
171546	C14orf147	0,301	0,000016
171558	PTCRA	-0,0149	0,59
171568	POLR3H	-0,0396	0,00073
191585	PLAC4	0,0037	0,8
191587	PLAC7	0,0009	0,81
192137	C2orf12	-0,1213	0,015
192286	HIGD2A	-0,0066	0,82
192666	KRT24	-0,0028	0,92
192668	CYS1	0,2271	0,0001
192669	EIF2C3	0,199	0,000034
192670	EIF2C4	0,1138	0,012
192683	SCAMP5	-0,0611	0,01
195814	RDHE2	-0,1736	0,00000054
195827	C9orf21	0,0227	0,63
196047	EMX2OS	0,189	0,00002
196051	PPAPDC1A	0,3408	0,0000021
196074	METT5D1	0,0449	0,11
196264	MPZL3	-0,0471	0,16
196294	IMMP1L	-0,181	0,000002
196383	MGC7036	0,2229	0,0000052
196385	DNAH10	0,0874	0,17
196394	AMN1	-0,3242	0,000000027
196403	DTX3	-0,1197	0,00000024
196410	METTL7B	0,0422	0,22
196415	LOC196415	-0,0567	0,059
196441	CCDC131	0,0276	0,054
196463	P76	-0,0369	0,36
196475	RMST	0,1351	0,033
196477	C12orf12	0,0065	0,83
196483	FAM86A	-0,0388	0,25
196500	C12orf53	-0,9651	0,0000000026
196513	DCP1B	0,2351	0,00000003
196527	TMEM16F	0,6124	0,000001
196528	ARID2	0,1478	0,00000037
196541	LOC196541	-0,0288	0,34
196740	C10orf72	-0,0127	0,42
196743	PAOX	0,0629	0,0098
196792	FAM24B	0,0611	0,062
196883	ADCY4	-0,0181	0,6
196951	C15orf33	-0,0354	0,24
196968	C15orf51	0,088	0,018
196993	LOC196993	-0,027	0,51
196996	GRAMD2	0,1246	0,019
197131	UBR1	-0,0198	0,23
197135	PATL2	0,0323	0,31
197257	LDHD	0,0896	0,014
197258	FUK	0,1302	0,000084
197259	MLKL	0,0271	0,79
197322	ACSF3	0,062	0,04
197335	WDR90	0,0878	0,0034
197350	LOC197350	0,0377	0,3
197358	NLRC3	0,0112	0,67
197370	NSMCE1	0,1919	0,000014
197407	ZNF553	-0,0318	0,25
199221	DZIP1L	0,0826	0,03
199223	TTC21A	0,1031	0,0039
199675	C19orf59	-0,0791	0,0000058
199692	ZNF627	0,1318	0,019
199704	ZNF585A	0,0547	0,036
199713	NLRP7	-0,0191	0,52
199720	GGN	-0,0543	0,034
199725	LOC199725	-0,0329	0,42
199731	CADM4	0,0807	0,019
199745	THAP8	0,0443	0,12
199746	U2AF1L4	-0,0043	0,89
199777	ZNF626	-0,0406	0,093
199786	FAM129C	-0,0138	0,74
199800	LOC199800	0,0855	0,041
199827	RNASEH1P3	-0,1558	0,000078
199857	ALG14	-0,0641	0,051
199870	FAM76A	-0,0186	0,17
199899	LOC199899	0,0393	0,29
199920	C1orf168	-0,0249	0,012
199953	RP13-15M17,2	0,0044	0,8
199964	TMEM61	-0,042	0,26
199974	CYP4Z1	-0,0642	0,00049
199990	C1orf86	-0,0271	0,0061
200010	SLC5A9	-0,0015	0,97
200014	CC2D1B	0,0575	0,17
200035	NUDT17	-0,0495	0,11
200058	FLJ23867	-0,1561	0,0054
200095	C1orf67	-0,036	0,28
200159	C1orf100	-0,0353	0,48
200162	SPAG17	0,2446	0,058
200185	KRTCAP2	0,207	0,0000000077
200186	CRTC2	0,0629	0,017
200205	C1orf69	0,0057	0,59
200232	C20orf106	-0,0227	0,092
200312	RNF215	-0,0022	0,22
200315	APOBEC3A	0,0047	0,86
200316	APOBEC3F	0,0432	0,011
200373	MGC33657	0,0716	0,028
200383	LOC200383	-0,0111	0,71
200424	hCG_40738	0,076	0,021
200504	GKN2	-0,0318	0,31
200523	C2orf51	-0,0354	0,2
200539	ANKRD23	-0,0154	0,2
200558	C2orf13	-0,0279	0,22
200576	PIP5K3	0,2188	0,0019
200609	LOC200609	-0,0123	0,63
200634	KRTCAP3	-0,0167	0,58
200728	TMEM17	0,0701	0,043
200734	SPRED2	-0,0446	0,064
200772	LOC200772	0,0528	0,096
200844	FLJ42117	0,0336	0,02
200845	KCTD6	0,1225	0,00063
200879	LIPH	-0,028	0,38
200894	ARL13B	0,1904	0,0065
200895	DHFRL1	0,1883	0,000000086
200916	RPL22L1	0,1354	0,042
200931	OSTalpha	-0,0063	0,83
200933	FBXO45	0,0832	0,043
200942	KLHDC8B	0,1476	0,0000043
200958	MUC20	-0,0837	0,00047
200959	GABRR3	-0,0189	0,4
201134	CCDC46	0,1163	0,000037
201140	DHRS7C	-0,0286	0,37
201161	PRR6	-0,2884	0,0000046
201163	FLCN	-0,037	0,015
201164	LOC201164	-0,0554	0,012
201175	LOC201175	-0,0185	0,56
201176	ARHGAP27	-0,058	0,0016
201181	LOC201181	-0,0783	0,043
201191	SAMD14	-0,1507	0,0025
201229	LOC201229	-0,3967	0,000014
201243	C17orf74	-0,0078	0,79
201254	STRA13	0,0256	0,44
201255	LRRC45	0,0694	0,092
201266	SLC39A11	0,4101	0,000000039
201283	FLJ32065	-0,1475	0,072
201292	TRIM65	0,0555	0,086
201294	UNC13D	0,057	0,031
201299	RDM1	-0,0182	0,61
201305	SPNS3	0,0229	0,49
201456	FBXO15	0,1994	0,022
201475	RAB12	0,1278	0,023
201501	ZBTB7C	0,0221	0,13
201514	ZNF584	-0,0155	0,61
201562	PTPLB	-0,3129	0,000045
201595	STT3B	-0,008	0,000012
201625	DNHD2	0,2667	0,016
201626	2'-PDE	-0,036	0,081
201633	VSTM3	0,0466	0,089
201725	LOC201725	-0,0178	0,15
201780	SLC10A4	-0,2868	0,0057
201895	C4orf34	-0,0353	0,16
201965	RWDD4A	0,1602	0,012
201973	CCDC111	0,1365	0,0043
202018	TAPT1	0,0466	0,00000036
202051	LOC202051	0,0547	0,095
202052	DNAJC18	-0,1974	0,000023
202134	LOC202134	-0,1348	0,0000074
202181	LOC202181	-0,0423	0,056
202243	CCDC125	0,1121	0,00041
202333	CMYA5	0,0364	0,062
202347	LOC202347	0,0036	0,91
202451	LOC202451	-0,1192	0,008
202500	TCTE1	-0,0775	0,02
202559	KHDRBS2	-0,3609	0,00000013
202658	TRIM39R	0,1422	0,000031
202781	LOC202781	0,0701	0,3
202915	TMEM184A	0,1103	0,0021
203054	ADCK5	-0,0367	0,22
203062	TSNARE1	0,054	0,12
203068	TUBB	-0,1449	0,00038
203069	R3HCC1	0,0623	0,043
203080	C8orf5	-0,1636	0,000012
203107	LOC203107	0,3274	0,00000047
203190	LGI3	-0,109	0,15
203197	C9orf91	-0,6015	0,0000000037
203228	C9orf72	0,2608	0,01
203238	C9orf93	-0,048	0,0076
203245	C9orf90	0,0557	0,022
203259	C9orf25	-0,0685	0,11
203274	LOC203274	-0,3029	0,00011
203286	ANKS6	0,0881	0,0000000063
203328	SUSD3	0,0266	0,31
203411	LOC203411	0,0874	0,28
203414	CXorf24	0,1349	0,0014
203447	NRK	0,0373	0,28
203522	DDX26B	0,1373	0,0042
203523	ZNF449	0,046	0,0013
203547	LOC203547	0,0292	0,099
203562	TMEM31	-0,0176	0,66
203859	TMEM16E	-0,0444	0,28
204851	HIPK1	0,3592	0,000001
204962	SLC44A5	0,0151	0,33
205147	FAM123C	-0,1434	0,00036
205251	LOC205251	-0,0579	0,37
205327	FLJ38973	-0,1403	0,011
205428	C3orf58	0,1736	0,00000078
205564	SENP5	0,0073	0,11
205717	KIAA2018	-0,0003	0,0064
206338	FLJ90650	-0,0643	0,059
206358	SLC36A1	-0,0197	0,65
206412	C6orf163	-0,0316	0,12
207032	dJ507I15,1	0,0087	0,76
207063	DHRSX	0,078	0,0074
219285	SAMD9L	0,1287	0,0011
219287	FAM123A	0,4721	0,00000042
219293	ATAD3C	0,0802	0,11
219333	USP12	0,0302	0,49
219347	LOC219347	0,0245	0,42
219348	PLAC9	0,0625	0,0013
219402	MTIF3	0,0404	0,0024
219409	GSX1	-0,0368	0,026
219527	LRRC55	-0,0032	0,94
219537	SMTNL1	0,0672	0,043
219539	YPEL4	0,0741	0,38
219541	MED19	-0,1021	0,00043
219557	MGC26647	-0,0302	0,47
219595	PSMAL	0,0702	0,53
219654	C10orf56	0,6245	0,0000000000035
219670	C10orf63	0,1799	0,0055
219681	ARMC3	0,3383	0,0065
219699	UNC5B	0,3361	0,00019
219736	STOX1	0,188	0,011
219738	C10orf35	-0,0547	0,19
219743	TYSND1	-0,0023	0,59
219749	ZNF25	-0,2256	0,0095
219770	GJD4	0,0182	0,36
219771	CCNY	-0,2944	0,000000033
219790	PLEKHK1	-0,0015	0,54
219844	HYLS1	-0,2652	0,000000026
219854	LOC219854	0,2184	0,00027
219855	SLC37A2	-0,0294	0,41
219899	TBCEL	-0,009	0,82
219902	TMEM136	-0,043	0,13
219927	MRPL21	-0,2045	0,00012
219931	TPCN2	-0,0269	0,000024
219972	MPEG1	-0,0356	0,16
219988	PATL1	0,0245	0,0017
220001	VWCE	0,0715	0,11
220002	CYBASC3	0,1415	0,00034
220004	C11orf66	0,0812	0,074
220042	C11orf82	-0,0178	0,51
220047	CCDC83	-0,025	0,21
220064	ORAOV1	0,0494	0,044
220070	C11orf76	0,0194	0,52
220074	LRRC51	0,1161	0,0051
220077	LOC220077	0,0549	0,095
220107	DLEU7	-0,1003	0,019
220108	FAM124A	0,1406	0,000018
220134	C18orf24	-0,0228	0,31
220164	DOK6	-0,718	0,0000000036
220213	OTUD1	0,0211	0,099
220296	HEPACAM	0,6988	0,000000000012
220323	OAF	-0,0508	0,033
220359	TIGD3	-0,0673	0,052
220382	MGC33846	0,3207	0,000000056
220594	LOC220594	0,0382	0,6
220717	RPLP0-like	0,0993	0,1
220869	CBWD5	-0,4014	0,000021
220906	LOC220906	-0,0119	0,84
220929	ZNF438	0,0127	0,74
220930	LOC220930	0,0993	0,032
220963	SLC16A9	1,0298	0,0000000000056
220965	FAM13C1	0,0507	0,048
220972	MARCH8	0,1758	0,000000000036
220988	HNRPA3	-0,0486	0,17
221002	RASGEF1A	-0,2047	0,00013
221035	REEP3	0,1063	0,0000083
221037	JMJD1C	0,0444	0,000021
221044	C10orf49	-0,0548	0,11
221078	NSUN6	0,3149	0,000000014
221079	ARL5B	-0,0025	0,9
221092	HNRPUL2	-0,0855	0,031
221120	ALKBH3	-0,0257	0,63
221143	N6AMT2	0,0752	0,0077
221150	C13orf3	-0,0518	0,17
221154	EFHA1	0,1431	0,051
221178	SPATA13	0,0639	0,37
221180	CYCSP33	-0,0672	0,00038
221184	CPNE2	0,3437	0,00022
221188	GPR114	-0,0065	0,83
221191	Klkbl4	-0,0251	0,53
221272	LOC221272	-0,0535	0,16
221294	NT5DC1	-0,1617	0,00000021
221300	BET3L	0,0247	0,43
221302	C6orf113	-0,0104	0,045
221303	C6orf189	0,0926	0,021
221322	C6orf170	-0,0526	0,38
221336	C6orf65	-0,5895	0,0000007
221391	OPN5	-0,0103	0,3
221393	GPR115	0,0078	0,66
221395	GPR116	0,2021	0,0027
221400	TDRD6	0,1128	0,099
221409	SPATS1	0,0454	0,34
221416	MGC45491	0,0097	0,72
221421	C6orf206	0,2123	0,005
221424	C6orf154	-0,4363	0,000000017
221442	LOC221442	0,1242	0,00001
221443	C6orf130	0,1549	0,00000013
221458	KIF6	0,1256	0,00035
221468	C6orf128	-0,0323	0,24
221472	FGD2	0,0329	0,039
221476	PI16	0,0461	0,14
221477	C6orf89	0,041	0,00009
221481	C6orf81	0,1065	0,028
221491	C6orf1	0,2689	0,000012
221496	LEMD2	-0,021	0,57
221504	ZBTB9	-0,0386	0,16
221545	C6orf136	-0,2245	0,00013
221656	AOF1	0,1877	0,011
221687	RNF182	0,51	0,0000048
221692	PHACTR1	-0,5784	0,00000000021
221710	LOC221710	-0,0796	0,00081
221711	SYCP2L	-0,0591	0,048
221749	C6orf145	0,267	0,00000059
221756	MGC39372	-0,043	0,23
221785	ZNF498	0,0331	0,003
221786	C7orf38	0,1183	0,0012
221806	FLJ14712	-0,0757	0,0063
221814	LOC221814	-0,0463	0,26
221823	PRPS1L1	-0,0578	0,037
221830	TWISTNB	-0,0326	0,095
221833	SP8	-0,0328	0,16
221883	HOXA11S	0,0398	0,32
221895	JAZF1	-0,353	0,0000068
221908	C7orf47	0,0461	0,16
221914	GPC2	0,0729	0,076
221927	C7orf27	0,0792	0,039
221935	SDK1	0,0999	0,0026
221937	FOXK1	0,0048	0,16
221938	MMD2	-0,2197	0,000016
221955	DAGLB	-0,1447	0,0003
221960	C7orf28B	0,0118	0,06
221981	THSD7A	-0,1532	0,011
222008	VSTM2A	-0,8068	0,00000051
222068	TMED4	0,0838	0,2
222070	LOC222070	0,0405	0,079
222159	LOC222159	0,0095	0,68
222161	DKFZp586I1420	0,4194	0,0000000087
222166	C7orf41	0,4364	0,0000016
222171	PRR15	-0,0803	0,089
222183	FLJ37078	-0,3064	0,0000000016
222194	RSBN1L	0,043	0,0074
222223	KIAA1324L	-0,0667	0,075
222229	LRWD1	0,0273	0,31
222234	MGC35361	-0,0163	0,71
222236	NAPE-PLD	0,0546	0,013
222255	ATXN7L1	-0,0458	0,016
222256	FLJ23834	0,095	0,15
222389	C10orf30	0,1309	0,039
222484	LNX2	0,0229	0,36
222521	FLJ25791	0,0065	0,91
222537	HS3ST5	-0,5812	0,00000006
222553	SLC35F1	-0,3895	0,00000000054
222611	GPR111	0,0078	0,66
222642	BZRPL1	0,0808	0,000068
222643	UNC5CL	0,0979	0,000068
222658	KCTD20	0,1432	0,000000000073
222663	SCUBE3	-0,026	0,0014
222696	ZSCAN23	-0,0183	0,63
222698	NKAPL	-0,003	0,83
222826	C6orf146	-0,0193	0,55
222865	TMEM130	-0,8056	0,0000003
222967	RSPH10B	-0,0752	0,06
223075	CCDC129	-0,0333	0,087
223082	ZNRF2	-0,0026	0,022
223117	SEMA3D	0,0158	0,46
225689	MAPK15	0,0042	0,64
245711	SPDYA	-0,0017	0,96
245802	MS4A6E	-0,0438	0,25
245806	VGLL2	0,005	0,89
245812	CNPY4	0,061	0,00018
245929	DEFB115	-0,0447	0,29
245932	DEFB119	-0,0412	0,32
245934	DEFB121	-0,0007	0,99
245936	DEFB123	0,0313	0,34
245938	DEFB125	-0,032	0,19
245939	DEFB128	-0,032	0,19
245973	ATP6V1C2	-0,0958	0,29
246100	CTAG1A	0,0017	0,56
246119	TTTY10	0,0035	0,93
246122	TTTY7	-0,0221	0,18
246126	CYorf15A	-0,0645	0,024
246175	CNOT6L	0,0848	0,000026
246184	CDC26	0,261	0,001
246243	RNASEH1	-0,0721	0,033
246315	LOC246315	0,0241	0,053
246329	STAC3	-0,0203	0,61
246330	PELI3	-0,1391	0,000018
246716	YWHAQP2	0,0479	0,23
246721	POLR2J2	-0,0342	0,016
246734	NPCDR1	-0,0251	0,49
246737	YWHAZP4	-0,0326	0,66
246777	SPESP1	0,0422	0,2
252839	TMEM9	0,0187	0,55
252955	TTTY23	-0,0305	0,52
252969	NEIL2	0,0404	0,47
252983	STXBP4	0,0134	0,62
252995	FNDC5	-0,1004	0,000041
253012	LOC253012	-0,0275	0,29
253039	LOC253039	0,0271	0,087
253143	C22orf30	0,0322	0,26
253152	ABHD7	-0,9184	0,00000000017
253190	SERHL2	0,1436	0,0000078
253260	RICTOR	0,296	0,0000043
253264	LOC253264	-0,1538	0,00068
253430	IPMK	-0,0004	0,98
253461	ZBTB38	0,0614	0,0087
253512	SLC25A30	-0,0998	0,0051
253558	LYCAT	-0,0263	0,58
253635	CCDC75	-0,0993	0,054
253650	ANKRD18A	-0,1388	0,0088
253725	FAM21C	0,0962	0,0079
253738	EBF3	-0,0245	0,14
253769	WDR27	0,033	0,0003
253782	LASS6	-0,2126	0,0000013
253827	MSRB3	0,3062	0,00001
253832	ZDHHC20	0,1245	0,0038
253842	LOC253842	-0,0374	0,023
253868	C20orf200	-0,0433	0,21
253943	YTHDF3	-0,0392	0,52
253959	GARNL1	0,0362	0,00061
253970	LOC253970	0,0341	0,55
253980	KCTD13	-0,3161	0,000005
253982	ASPHD1	-0,1594	0,00024
254048	FLJ25778	0,1145	0,000017
254065	BRWD3	0,0502	0,077
254102	EHBP1L1	0,1042	0,0022
254128	LOC254128	0,5182	0,000000051
254170	FBXO33	-0,2003	0,00015
254173	TTLL10	-0,0085	0,8
254225	RNF169	0,0548	0,00000000041
254228	FAM26E	0,0392	0,23
254240	BPIL2	-0,0587	0,00000011
254251	LCORL	0,165	0,000000022
254263	CNIH2	-0,3241	0,00000036
254272	FLJ40244	-0,0155	0,2
254295	PHYHD1	0,2516	0,000000028
254312	LOC254312	-0,0697	0,042
254359	ZDHHC24	-0,0083	0,047
254427	C10orf47	-0,0371	0,0053
254428	SLC41A1	0,3682	0,00000039
254439	FLJ22675	-0,0281	0,44
254528	C16orf73	0,0211	0,36
254531	AGPAT7	-0,5062	0,0000000000041
254559	LOC254559	-0,0296	0,24
254778	C8orf46	-0,0587	0,00046
254863	C17orf61	0,1232	0,0034
254887	ZDHHC23	-0,5936	0,000000033
254896	MGC31957	-0,0541	0,31
254956	C9orf18	0,3375	0,00049
255043	TMEM86B	-0,1136	0,0015
255057	C19orf26	-0,277	0,0000000025
255082	CASC2	0,0466	0,24
255101	CCDC108	0,0658	0,091
255104	TMCO4	0,1183	0,0015
255119	C4orf22	0,3163	0,0095
255189	PLA2G4F	-0,0096	0,82
255231	MCOLN2	-0,0484	0,25
255252	LRRC57	-0,0267	0,43
255275	LOC255275	-0,027	0,42
255330	C3orf46	-0,0453	0,23
255426	RASGEF1C	0,0725	0,14
255480	LOC255480	-0,0059	0,37
255488	RNF144B	0,072	0,00016
255520	ELMOD2	0,1155	0,0069
255626	HIST1H2BA	0,0386	0,14
255631	COL24A1	-0,0754	0,19
255738	PCSK9	0,0327	0,29
255743	NPNT	-0,0765	0,094
255758	MGC33212	-0,0982	0,21
255762	C16orf65	-0,045	0,2
255877	BCL6B	0,0148	0,39
255919	TMEM188	-0,0225	0,59
255926	ADAM5P	-0,0434	0,19
255967	PAN3	0,2607	0,00028
256112	ZNF37B	-0,1	0,063
256126	SYCE2	-0,0076	0,8
256130	MGC42090	-0,4318	0,00000022
256158	HMCN2	-0,0074	0,78
256223	LOC256223	0,0067	0,86
256227	MGC87042	-0,0085	0,45
256236	NAPSB	0,1475	0,072
256273	LOC256273	-0,0463	0,19
256281	NUDT14	-0,0677	0,04
256302	MGC33894	-0,0146	0,72
256309	CCDC110	-0,2277	0,000077
256329	C11orf35	-0,0454	0,21
256356	GK5	0,0052	0,34
256364	EML3	0,3566	0,0000000024
256369	C14orf48	0,063	0,055
256435	ST6GALNAC3	0,1997	0,00039
256471	MFSD8	-0,0325	0,15
256472	TMEM151A	-0,1346	0,03
256536	TCERG1L	-0,0853	0,033
256586	LYSMD2	-0,442	0,00000051
256643	CXorf23	0,2375	0,000068
256646	NUT	-0,052	0,14
256676	LOC256676	-0,0227	0,48
256691	MAMDC2	0,0117	0,62
256710	GLIPR1L1	-0,0259	0,48
256714	MAP7D2	-0,6281	0,0000000046
256764	WDR72	-0,0187	0,13
256933	NPB	-0,0398	0,4
256949	ANKRD47	0,0049	0,92
256979	SUNC1	-0,017	0,61
257000	PLAC2	-0,0416	0,23
257019	FRMD3	0,2055	0,00041
257044	C1orf101	-0,0472	0,00084
257062	TMEM146	0,1372	0,047
257101	ZNF683	0,0163	0,64
257103	C21orf86	-0,0955	0,11
257106	ARHGAP30	0,0571	0,0091
257144	GCET2	-0,0498	0,19
257160	RNF214	-0,0648	0,013
257177	C1orf192	0,6304	0,000058
257194	NEGR1	-0,4281	0,000000084
257203	DSCR9	0,0135	0,66
257218	SHPRH	0,0282	0,73
257236	CCDC96	-0,0327	0,58
257240	KLHL34	-0,0218	0,54
257313	UTS2D	-0,0066	0,86
257357	C21orf87	-0,0497	0,16
257364	SH3PX3	0,0916	0,0022
257396	LOC257396	0,0022	0,95
257397	MAP3K7IP3	-0,0429	0,37
257407	LOC257407	0,1318	0,0014
257415	FAM133B	0,022	0,00036
257629	ANKS4B	-0,088	0,017
258010	SVIP	-0,3974	0,0000000000088
259173	ALS2CL	0,0331	0,3
259197	NCR3	-0,0337	0,13
259217	HSPA12A	-0,2952	0,00000000035
259230	SGMS1	0,1741	0,0064
259232	NALCN	-0,0997	0,052
259266	ASPM	-0,0543	0,0055
259282	FAM44A	0,0173	0,049
259291	TAS2R45	-0,028	0,09
259307	IL4I1	-0,0027	0,45
259308	LOC259308	-0,015	0,22
260293	CYP4X1	-0,4646	0,0000061
260294	NSUN5C	0,0976	0,0024
260425	MAGI3	-0,0376	0,048
260434	PYDC1	-0,0369	0,39
260436	C4orf7	-0,0552	0,093
261726	TIPRL	-0,1025	0,00051
261729	STEAP2	-0,5159	0,0000000036
261734	NPHP4	-0,0585	0,00011
266629	SEC14L3	-0,0308	0,24
266722	HS6ST3	-0,3617	0,000000013
266727	MDGA1	0,0059	0,0058
266740	MAGEA2B	0,0237	0,11
266743	NPAS4	-0,0406	0,35
266747	Rgr	0,0625	0,099
266812	NAP1L5	-0,5844	0,000054
266977	GPR110	-0,0225	0,011
267002	PGBD2	0,0497	0,026
267004	PGBD3	-0,0025	0,11
267020	ATP5L2	0,1031	0,0000078
280636	C11orf31	-0,2347	0,000034
282679	AQP11	-0,1086	0,0038
282808	LL0XNC01-237H1,1	-0,0086	0,74
282809	WDR51B	0,3299	0,000004
282890	ZNF311	0,0032	0,15
282966	C10orf53	0,0208	0,57
282969	C10orf125	0,0699	0,056
282973	C10orf39	-0,0009	0,99
282974	STK32C	-0,1211	0,000000023
282991	BLOC1S2	-0,1435	0,06
282992	LOC282992	-0,0105	0,69
282996	RBM20	-0,5004	0,0000000092
283033	LOC283033	-0,0188	0,64
283065	C10orf41	-0,1593	0,00016
283070	LOC283070	-0,8679	0,000000000000051
283078	MKX	0,05	0,027
283079	LOC283079	-0,0324	0,21
283120	H19	0,0001	0,52
283129	LOC283129	-0,0904	0,0085
283130	SLC25A45	0,0072	0,81
283131	TncRNA	0,7957	0,0000000072
283143	LOC283143	-0,0467	0,1
283149	BCL9L	0,0521	0,0052
283150	FOXR1	-0,0853	0,045
283152	LOC283152	0,2314	0,0015
283160	OR8D2	-0,0705	0,02
283174	LOC283174	-0,2217	0,0000011
283177	LOC283177	0,0541	0,12
283208	P4HA3	-0,0819	0,035
283209	PGM2L1	-0,3073	0,00071
283212	FLJ33790	0,0431	0,086
283219	KCTD21	0,0348	0,33
283229	EFCAB4A	-0,0014	0,96
283232	TMEM80	0,0509	0,05
283234	CCDC88B	0,0764	0,027
283237	TTC9C	-0,1509	0,00002
283248	RCOR2	-0,0564	0,16
283254	C11orf77	-0,0326	0,26
283267	LOC283267	-0,2014	0,000021
283278	LOC283278	0,2094	0,000041
283284	IGSF22	-0,0161	0,63
283294	C11orf47	-0,0719	0,019
283298	OLFML1	0,0618	0,023
283316	CD163L1	-0,0635	0,048
283335	LOC283335	0,0432	0,21
283337	ZNF740	0,0113	0,62
283345	LOC283345	0,0899	0,019
283357	LOC283357	0,1738	0,0023
283358	B4GALNT3	-0,0753	0,012
283373	ANKRD52	0,0249	0,44
283375	SLC39A5	-0,0238	0,58
283377	SPRYD4	-0,1072	0,00016
283378	LOC283378	0,0454	0,27
283383	GPR133	0,0339	0,48
283385	MORN3	0,1371	0,0094
283401	FLJ33996	-0,3679	0,0000000002
283417	DPY19L2	-0,3184	0,000000059
283431	GAS2L3	-0,0254	0,47
283450	C12orf51	-0,1495	0,000014
283454	LOC283454	0,0162	0,6
283455	KSR2	-0,5428	0,00000066
283459	15E1,2	0,1273	0,0072
283464	GLT8D3	0,2035	0,00000021
283480	LOC283480	0,0001	1
283481	LOC283481	0,329	0,000000013
283482	LOC283482	-0,0288	0,34
283483	LOC283483	-0,016	0,33
283489	C13orf8	0,0725	0,068
283491	OR7E156P	0,049	0,21
283507	SUGT1L1	-0,1036	0,0025
283508	LOC283508	-1,077	0,0000000054
283518	KCNRG	0,0092	0,36
283537	SLC46A3	0,1262	0,0068
283551	LOC283551	-0,0221	0,09
283554	GPR137C	-0,5615	0,000000018
283567	LOC283567	-0,0434	0,018
283576	ZDHHC22	0,0086	0,21
283578	TMED8	-0,1024	0,022
283596	SNHG10	0,0821	0,000064
283600	C14orf68	0,0218	0,51
283624	LOC283624	-0,0336	0,43
283629	TSSK4	0,0008	0,98
283635	C14orf24	0,1853	0,05
283638	KIAA0284	-0,381	0,000001
283651	C15orf21	-0,0848	0,002
283658	LOC283658	-0,0254	0,55
283663	LOC283663	0,0779	0,028
283666	LOC283666	0,0056	0,17
283673	TMEM84	-0,0136	0,76
283677	LOC283677	0,0275	0,35
283713	LOC283713	-0,013	0,85
283737	LOC283737	-0,1826	0,001
